"PrimerPair","Primer1","Start","End","size","n","lab"
"rabvPeru2_10_LEFT_rabvPeru2_10_RIGHT","rabvPeru2_10_LEFT",2734,3096,362,2,10
"rabvPeru2_11_LEFT_rabvPeru2_11_RIGHT","rabvPeru2_11_LEFT",2986,3412,426,3,11
"rabvPeru2_12_LEFT_rabvPeru2_12_RIGHT","rabvPeru2_12_LEFT",3309,3735,426,3,12
"rabvPeru2_13_LEFT_rabvPeru2_13_RIGHT","rabvPeru2_13_LEFT",3605,3982,377,2,13
"rabvPeru2_13_LEFT_rabvPeru2_15_RIGHT","rabvPeru2_13_LEFT",3605,4520,915,1,13
"rabvPeru2_14_LEFT_rabvPeru2_14_RIGHT","rabvPeru2_14_LEFT",3870,4231,361,4,14
"rabvPeru2_14_LEFT_rabvPeru2_15_RIGHT","rabvPeru2_14_LEFT",3870,4520,650,1,14
"rabvPeru2_14_LEFT_rabvPeru2_16_RIGHT","rabvPeru2_14_LEFT",3870,4780,910,4,14
"rabvPeru2_15_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_15_LEFT",4131,5100,969,1,15
"rabvPeru2_16_LEFT_rabvPeru2_16_RIGHT","rabvPeru2_16_LEFT",4420,4780,360,1,16
"rabvPeru2_16_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_16_LEFT",4420,5100,680,1,16
"rabvPeru2_16_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_16_LEFT",4420,5392,972,1,16
"rabvPeru2_17_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_17_LEFT",4680,5100,420,1,17
"rabvPeru2_18_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_18_LEFT",4989,5392,403,1,18
"rabvPeru2_18_LEFT_rabvPeru2_19_RIGHT","rabvPeru2_18_LEFT",4989,5689,700,1,18
"rabvPeru2_18_LEFT_rabvPeru2_20_RIGHT","rabvPeru2_18_LEFT",4989,5984,995,1,18
"rabvPeru2_19_LEFT_rabvPeru2_19_RIGHT","rabvPeru2_19_LEFT",5287,5689,402,4,19
"rabvPeru2_19_LEFT_rabvPeru2_20_RIGHT","rabvPeru2_19_LEFT",5287,5984,697,1,19
"rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT","rabvPeru2_1_LEFT",11,432,421,6,1
"rabvPeru2_20_LEFT_rabvPeru2_20_RIGHT","rabvPeru2_20_LEFT",5592,5984,392,1,20
"rabvPeru2_20_LEFT_rabvPeru2_22_RIGHT","rabvPeru2_20_LEFT",5592,6527,935,5,20
"rabvPeru2_21_LEFT_rabvPeru2_21_RIGHT","rabvPeru2_21_LEFT",5889,6291,402,4,21
"rabvPeru2_23_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_23_LEFT",6424,6827,403,9,23
"rabvPeru2_23_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_23_LEFT",6424,7425,1001,1,23
"rabvPeru2_24_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_24_LEFT",6722,7152,430,2,24
"rabvPeru2_24_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_24_LEFT",6722,7734,1012,2,24
"rabvPeru2_25_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_25_LEFT",7039,7425,386,7,25
"rabvPeru2_25_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_25_LEFT",7039,7734,695,1,25
"rabvPeru2_25_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_25_LEFT",7039,7984,945,1,25
"rabvPeru2_26_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_26_LEFT",7324,7734,410,1,26
"rabvPeru2_27_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_27_LEFT",7601,7984,383,6,27
"rabvPeru2_27_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_27_LEFT",7601,8262,661,2,27
"rabvPeru2_27_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_27_LEFT",7601,8575,974,1,27
"rabvPeru2_27_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_27_LEFT",7601,9165,1564,1,27
"rabvPeru2_28_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_28_LEFT",7888,8262,374,6,28
"rabvPeru2_29_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_29_LEFT",8141,8575,434,1,29
"rabvPeru2_2_LEFT_rabvPeru2_2_RIGHT","rabvPeru2_2_LEFT",326,753,427,11,2
"rabvPeru2_30_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_30_LEFT",8478,8575,97,1,30
