"PrimerPair","Primer1","Start","End","size","n","lab"
"rabvPeru2_23_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_23_LEFT",6424,7152,728,2,23
"rabvPeru2_23_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_23_LEFT",6424,7425,1001,4,23
"rabvPeru2_23_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_23_LEFT",6424,7984,1560,1,23
"rabvPeru2_24_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_24_LEFT",6722,6827,105,2,24
"rabvPeru2_24_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_24_LEFT",6722,7152,430,92,24
"rabvPeru2_24_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_24_LEFT",6722,7425,703,2,24
"rabvPeru2_24_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_24_LEFT",6722,7734,1012,26,24
"rabvPeru2_25_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_25_LEFT",7039,7152,113,1,25
"rabvPeru2_25_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_25_LEFT",7039,7425,386,29,25
"rabvPeru2_25_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_25_LEFT",7039,7734,695,7,25
"rabvPeru2_25_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_25_LEFT",7039,7984,945,9,25
"rabvPeru2_25_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_25_LEFT",7039,8262,1223,1,25
"rabvPeru2_25_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_25_LEFT",7039,9165,2126,2,25
"rabvPeru2_26_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_26_LEFT",7324,7734,410,42,26
"rabvPeru2_26_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_26_LEFT",7324,7984,660,1,26
"rabvPeru2_27_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_27_LEFT",7601,7984,383,49,27
"rabvPeru2_27_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_27_LEFT",7601,8262,661,12,27
"rabvPeru2_27_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_27_LEFT",7601,8575,974,12,27
"rabvPeru2_27_LEFT_rabvPeru2_30_RIGHT","rabvPeru2_27_LEFT",7601,8895,1294,1,27
"rabvPeru2_27_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_27_LEFT",7601,9165,1564,15,27
"rabvPeru2_28_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_28_LEFT",7888,8262,374,47,28
"rabvPeru2_28_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_28_LEFT",7888,8575,687,3,28
"rabvPeru2_28_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_28_LEFT",7888,9165,1277,3,28
"rabvPeru2_29_LEFT_rabvPeru2_29_RIGHT","rabvPeru2_29_LEFT",8141,8575,434,5,29
"rabvPeru2_29_LEFT_rabvPeru2_30_RIGHT","rabvPeru2_29_LEFT",8141,8895,754,2,29
"rabvPeru2_29_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_29_LEFT",8141,9165,1024,43,29
"rabvPeru2_2_LEFT_rabvPeru2_1_RIGHT","rabvPeru2_2_LEFT",326,432,106,1,2
"rabvPeru2_2_LEFT_rabvPeru2_2_RIGHT","rabvPeru2_2_LEFT",326,753,427,118,2
"rabvPeru2_2_LEFT_rabvPeru2_3_RIGHT","rabvPeru2_2_LEFT",326,1075,749,3,2
"rabvPeru2_2_LEFT_rabvPeru2_5_RIGHT","rabvPeru2_2_LEFT",326,1681,1355,1,2
"rabvPeru2_30_LEFT_rabvPeru2_30_RIGHT","rabvPeru2_30_LEFT",8478,8895,417,5,30
"rabvPeru2_30_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_30_LEFT",8478,9165,687,2,30
"rabvPeru2_30_LEFT_rabvPeru2_32_RIGHT","rabvPeru2_30_LEFT",8478,9483,1005,14,30
"rabvPeru2_30_LEFT_rabvPeru2_33_RIGHT","rabvPeru2_30_LEFT",8478,9766,1288,1,30
"rabvPeru2_31_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_31_LEFT",8792,9165,373,5,31
"rabvPeru2_31_LEFT_rabvPeru2_32_RIGHT","rabvPeru2_31_LEFT",8792,9483,691,1,31
"rabvPeru2_31_LEFT_rabvPeru2_33_RIGHT","rabvPeru2_31_LEFT",8792,9766,974,1,31
"rabvPeru2_32_LEFT_rabvPeru2_32_RIGHT","rabvPeru2_32_LEFT",9060,9483,423,51,32
"rabvPeru2_33_LEFT_rabvPeru2_32_RIGHT","rabvPeru2_33_LEFT",9371,9483,112,1,33
"rabvPeru2_33_LEFT_rabvPeru2_33_RIGHT","rabvPeru2_33_LEFT",9371,9766,395,1,33
"rabvPeru2_33_LEFT_rabvPeru2_35_RIGHT","rabvPeru2_33_LEFT",9371,10354,983,8,33
"rabvPeru2_33_LEFT_rabvPeru2_37_RIGHT","rabvPeru2_33_LEFT",9371,10917,1546,3,33
"rabvPeru2_34_LEFT_rabvPeru2_34_RIGHT","rabvPeru2_34_LEFT",9653,10083,430,16,34
"rabvPeru2_34_LEFT_rabvPeru2_35_RIGHT","rabvPeru2_34_LEFT",9653,10354,701,3,34
