sample_id	total_reads	mapped_reads	meanReads	sd_reads	median_reads	min_reads	max_reads	basesCovered_1	basesCovered_5	basesCovered_20	basesCovered_100	basesCovered_200	nonMaskedConsensusCov	filepath
i219_2022	36608	36608	2471.9339931225	877.84832814178	2508	0	4893	11907	11880	11878	11877	11877	11822	results_50/medaka/219_2022.sorted.bam
172_2022	83048	83048	3166.7540887361	1617.7544945114	3004	0	9030	11891	11883	11879	11878	11877	11812	results_50/medaka/172_2022.sorted.bam
231_2021	28192	28192	1405.3671055942	515.08511683592	1363	0	2943	11891	11883	11878	11877	11875	11801	results_50/medaka/231_2021.sorted.bam
145_2022	69588	69588	2756.5282227627	1405.1877563884	2617	0	8271	11889	11880	11878	11877	11877	11827	results_50/medaka/145_2022.sorted.bam
negative_na	162	162	6.7405015516229	3.4031414259819	7	0	17	11631	8711	0	0	0	0	results_50/medaka/negative_na.sorted.bam
61_2021	70413	70413	2946.6934496352	1221.5282609419	2857	0	6630	11885	11880	11878	11877	11877	11826	results_50/medaka/61_2021.sorted.bam
400_2023	38290	38290	2537.2383628281	855.14084473411	2533	0	4658	11886	11880	11878	11877	11877	11826	results_50/medaka/400_2023.sorted.bam
40_2021	9237	9237	392.51933238279	169.00807802886	374	0	910	11886	11878	11877	11738	10670	11826	results_50/medaka/40_2021.sorted.bam
359_2021	30700	30700	1909.928960832	647.19491557879	1944	0	3632	11896	11879	11878	11877	11876	11825	results_50/medaka/359_2021.sorted.bam
31_2021	71634	71634	2592.7783276021	1262.351261014	2377	0	7101	11888	11882	11878	11877	11877	11820	results_50/medaka/31_2021.sorted.bam
90_2021	45757	45757	1838.2788727669	824.62836147783	1768	0	4327	11892	11885	11878	11877	11877	11826	results_50/medaka/90_2021.sorted.bam
30_2021	50742	50742	2182.8240375744	935.78927197989	2127	0	5015	11909	11885	11879	11877	11877	11821	results_50/medaka/30_2021.sorted.bam
147_2022	35162	35162	1666.2637758953	1144.1997319634	1603	0	4385	11886	11879	11453	10755	10302	10752	results_50/medaka/147_2022.sorted.bam
399_2023	40970	40970	2737.0780843747	963.09549670554	2771	0	4946	11890	11884	11878	11877	11877	11826	results_50/medaka/399_2023.sorted.bam
126_2021	41076	41076	1825.7463725572	725.86022207365	1725	0	4068	11893	11883	11879	11877	11877	11816	results_50/medaka/126_2021.sorted.bam
158_2022	26045	26045	1500.2417176885	545.46924875698	1490	0	3150	11889	11879	11878	11877	11871	11825	results_50/medaka/158_2022.sorted.bam
56_2021	70889	70889	2335.6514300092	1444.949878402	2165	0	7476	11887	11881	11878	11689	11434	11580	results_50/medaka/56_2021.sorted.bam
173_2023	60646	60646	2606.2268724314	1256.7810780657	2689	0	6952	11903	11886	11879	11678	11677	11819	results_50/medaka/173_2023.sorted.bam
358_2021	57497	57497	3016.4001509687	1221.5757992472	3013	0	6392	11907	11883	11878	11877	11877	11825	results_50/medaka/358_2021.sorted.bam
