sample_id	total_reads	mapped_reads	meanReads	sd_reads	median_reads	min_reads	max_reads	basesCovered_1	basesCovered_5	basesCovered_20	basesCovered_100	basesCovered_200	nonMaskedConsensusCov	filepath
inegative_na	5304	5304	182.34177639856	754.97478981393	0	0	4194	1470	1462	1277	1261	1260	1126	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/negative_na.sorted.bam
71_2021	328914	328914	13187.95999329	5130.4663559974	12172	0	25473	11918	11892	11883	11879	11878	11824	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/71_2021.sorted.bam
147_2021	372481	372481	14426.293214795	6598.6821960234	14010	0	28867	11914	11891	11885	11878	11878	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/147_2021.sorted.bam
236_2022	758917	758917	25057.924096284	17386.991220674	21815	0	76266	11912	11909	11695	11170	11142	11015	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/236_2022.sorted.bam
107_2021	360339	360339	13520.579468255	7446.8796132082	13763	0	32452	11907	11891	11882	11741	11533	11823	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/107_2021.sorted.bam
251_2021	115094	115094	7739.7030109872	2039.4118816371	7802	0	13046	11897	11887	11880	11878	11878	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/251_2021.sorted.bam
250_2021	350173	350173	14068.423802734	5934.6301346748	13114	0	28102	11911	11888	11884	11879	11878	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/250_2021.sorted.bam
52_2021	47951	47951	3833.13285247	1027.3960912737	3800	0	7109	11896	11889	11879	11878	11877	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/52_2021.sorted.bam
73_2021	42452	42452	3467.4741256395	812.25431342874	3384	0	5657	11889	11880	11878	11878	11877	11824	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/73_2021.sorted.bam
34_2021	148926	148926	7481.35519584	2403.3418289016	7228	0	13172	11891	11886	11879	11878	11878	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/34_2021.sorted.bam
166_2023	6935	6935	238.43856411977	1240.3604333725	0	0	6925	440	433	430	426	426	379	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/166_2023.sorted.bam
68_2021	245893	245893	10764.671307557	4168.7838369625	10208	0	20454	11911	11889	11880	11878	11878	11823	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/68_2021.sorted.bam
202_2021	112087	112087	7031.2750146775	1899.7630715878	7182	0	12989	11905	11887	11882	11878	11877	11823	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp12/Artic-nf/results_50/medaka/202_2021.sorted.bam
